"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1202",1.16658123465649,5.13680443944111,0.227102520333326,0.82034942614001
"companyBrand 1203",1.22465857388957,1.03197108096235,1.18671791921488,0.235371708003581
"companyBrand 1204",-1.10857426510296,3.12365922979181,-0.354896031721375,0.722676190058687
"companyBrand 1205",17.4873437198365,32.1844982989889,0.543346786312525,0.586905149403216
"companyBrand 1206",0.683836964978622,5.28933252122961,0.129286060619923,0.89713432639349
"companyBrand 1207",22.4514985111182,10.8388890381029,2.0713837398088,0.0383527197994578
"companyBrand 1208",17.5356596036186,13.0423267993002,1.34451926205065,0.178816017394223
"companyBrand 1209",-1.46537671670531,3.22238375890147,-0.45474928697036,0.649301104433347
"companyBrand 121",9.29523841278731,7.06338094432048,1.31597580338088,0.188217264618973
"companyBrand 1210",3.81728179938664,3.55456569688493,1.07390948006164,0.282893405450883
