"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1197",-2.29829844042022,6.68069671840926,-0.344020771678955,0.730839080615646
"companyBrand 1198",2.3600051488708,5.0369758349582,0.468536126874309,0.639413124216446
"companyBrand 1199",19.3761131123256,10.691226842228,1.81233766697328,0.0699689157711578
"companyBrand 12",-0.65273843907196,0.418628172742913,-1.55923199051588,0.11897829925469
"companyBrand 120",-1.73577934984221,3.83006827921937,-0.453198017189393,0.650417600535681
"companyBrand 1200",-25.6784636911496,15.7408976141707,-1.6313214354455,0.102859149584777
"companyBrand 1201",-0.577533632004198,1.74117546314302,-0.331691804892358,0.740130076714123
"companyBrand 1202",-19.2971123636829,15.1011383900036,-1.2778581233622,0.201333966840045
"companyBrand 1203",1.23551874102938,1.03254644894538,1.19657449046607,0.231505453073501
"companyBrand 1204",-1.03436702969134,3.1253344033676,-0.330962033559285,0.740681231663446
"companyBrand 1205",-15.1582186851111,8.90600016887894,-1.70202317512635,0.0887871870134071
"companyBrand 1206",-8.26990001700749,7.08657239742656,-1.16698165956939,0.243250151624948
"companyBrand 1207",19.6340580788633,13.2809897379861,1.4783580490772,0.139348611693907
"companyBrand 1208",15.6027540086838,5.15665203447039,3.02575273731579,0.00248748663610149
"companyBrand 1209",-1.42318446187668,3.22417121111861,-0.441410945227971,0.658926623621634
"companyBrand 121",321.548713331909,100.985171472399,3.18411811005138,0.00145713753661717
"companyBrand 1210",3.86579879134446,3.55653493459391,1.08695650751027,0.277086512328737
